question,source_type,has_numeric,has_category,has_datetime,has_text,intent,answer_depth,operation,best_chart,chart_required,needs_numeric,needs_category,needs_datetime,needs_text
What is the row count?,json,true,true,true,true,schema_question,direct_answer,count_rows,kpi_card,false,false,false,false,false
Show range of amount values,csv,true,true,true,false,distribution,visual_answer,distribution,histogram,true,true,false,false,false
Top 10 departments by patient count,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Compare grade across teachers,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Rank regions by total balance,parquet,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Top 10 campaigns by spend,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Find outliers in orders,csv,true,true,true,false,distribution,small_summary,outlier_check,box_plot,true,true,false,false,false
Show range of conversion rate values,csv,true,true,true,false,distribution,visual_answer,distribution,histogram,true,true,false,false,false
Break down income by department,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Which location has the highest bonus?,excel,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Calculate average orders,csv,true,true,true,false,aggregation,direct_answer,mean,kpi_card,false,true,false,false,false
Show top regions by response time,json,true,true,true,true,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
What is the distribution of clicks?,csv,true,true,true,false,distribution,visual_answer,distribution,histogram,true,true,false,false,false
Top 10 products by rating,json,true,true,true,true,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Which service performed best?,json,true,true,true,true,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show monthly sensor value trend,parquet,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Compare score by class,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Which audience performed best?,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Is there a relationship between income and profit?,parquet,true,true,true,false,correlation,visual_answer,correlation,scatter_plot,true,true,false,false,false
Compare attendance across students,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Top 10 channels by orders,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Top 10 status codes by request count,json,true,true,true,true,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
What is the highest length of stay value?,csv,true,true,true,false,aggregation,direct_answer,max,kpi_card,false,true,false,false,false
Top 10 classs by score,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Which product performed best?,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Check if this data is clean,csv,true,true,true,false,data_quality,data_quality_answer,data_quality_summary,table,false,false,false,false,false
Which region has the highest amount?,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Forecast review score for next quarter,json,true,true,true,true,forecasting,deep_analysis,forecast,line_chart,true,true,false,true,false
Show top vendors by income,parquet,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show yearly performance score trend,excel,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Calculate total balance,parquet,true,true,true,false,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
Show histogram of grade,csv,true,true,true,false,distribution,visual_answer,distribution,histogram,true,true,false,false,false
How many rows are there?,json,true,true,true,true,schema_question,direct_answer,count_rows,kpi_card,false,false,false,false,false
Compare rating across customers,json,true,true,true,true,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show attrition rate by date,excel,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Top 10 audiences by clicks,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show histogram of loss,parquet,true,true,true,false,distribution,visual_answer,distribution,histogram,true,true,false,false,false
What is the minimum length of stay?,csv,true,true,true,false,aggregation,direct_answer,min,kpi_card,false,true,false,false,false
Break down performance score by manager,excel,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show histogram of salary,excel,true,true,true,false,distribution,visual_answer,distribution,histogram,true,true,false,false,false
Give me a summary of this dataset,csv,true,true,true,false,summary_analysis,deep_analysis,full_dataset_analysis,multi_chart_dashboard,true,true,true,true,false
Which teacher has the highest attendance?,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Which device performed best?,parquet,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
What is the overall performance score?,excel,true,true,true,false,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
Do a full analysis of this dataset,csv,true,true,true,false,summary_analysis,deep_analysis,full_dataset_analysis,multi_chart_dashboard,true,true,true,true,false
Break down revenue by channel,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Group error count by status code,json,true,true,true,true,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
How many rows are there?,parquet,true,true,true,false,schema_question,direct_answer,count_rows,kpi_card,false,false,false,false,false
Which gender has the highest performance score?,excel,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
How has score changed over time?,csv,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Explain pressure decline,parquet,true,true,true,false,diagnostic_analysis,deep_analysis,diagnostic_analysis,multi_chart_dashboard,true,true,true,true,false
Compare discount by country,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show performance score by date,excel,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Show range of clicks values,csv,true,true,true,false,distribution,visual_answer,distribution,histogram,true,true,false,false,false
Which audience performed best?,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Rank job roles by total performance score,excel,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
How has profit changed over time?,parquet,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Compare discount across channels,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Are there outliers in performance score?,excel,true,true,true,false,distribution,small_summary,outlier_check,box_plot,true,true,false,false,false
Compare pressure by sensor type,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Forecast income for next quarter,parquet,true,true,true,false,forecasting,deep_analysis,forecast,line_chart,true,true,false,true,false
Which region has the highest sales?,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Which subject has the highest attendance?,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Compare attendance by school,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show histogram of revenue,csv,true,true,true,false,distribution,visual_answer,distribution,histogram,true,true,false,false,false
Show the schema,parquet,true,true,true,false,schema_question,direct_answer,list_columns,table,false,false,false,false,false
Compare patient count across doctors,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show range of sales values,csv,true,true,true,false,distribution,visual_answer,distribution,histogram,true,true,false,false,false
Compare orders by category,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Count the records,csv,true,true,true,false,schema_question,direct_answer,count_rows,kpi_card,false,false,false,false,false
Which product performed best?,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Group cart value by country,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Top 10 countrys by sales,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Break down error count by service,json,true,true,true,true,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
What is the maximum conversion rate?,csv,true,true,true,false,aggregation,direct_answer,max,kpi_card,false,true,false,false,false
Detect unusual revenue values,csv,true,true,true,false,distribution,small_summary,outlier_check,box_plot,true,true,false,false,false
Show correlation between attendance and pass rate,csv,true,true,true,false,correlation,visual_answer,correlation,scatter_plot,true,true,false,false,false
Group attrition rate by location,excel,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Detect unusual pressure values,parquet,true,true,true,false,distribution,small_summary,outlier_check,box_plot,true,true,false,false,false
Show top customers by orders,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Detect unusual conversion rate values,csv,true,true,true,false,distribution,small_summary,outlier_check,box_plot,true,true,false,false,false
Explain humidity decline,parquet,true,true,true,false,diagnostic_analysis,deep_analysis,diagnostic_analysis,multi_chart_dashboard,true,true,true,true,false
Show yearly treatment cost trend,csv,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Show balance trend over time,parquet,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Which channel has the highest spend?,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
What is the maximum bonus?,excel,true,true,true,false,aggregation,direct_answer,max,kpi_card,false,true,false,false,false
Show top schools by score,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
What is the lowest performance score value?,excel,true,true,true,false,aggregation,direct_answer,min,kpi_card,false,true,false,false,false
What is the minimum income?,parquet,true,true,true,false,aggregation,direct_answer,min,kpi_card,false,true,false,false,false
Show top user types by error count,json,true,true,true,true,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Top 10 channels by conversion rate,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Rank departments by total length of stay,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Break down request count by service,json,true,true,true,true,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Calculate average humidity,parquet,true,true,true,false,aggregation,direct_answer,mean,kpi_card,false,true,false,false,false
Which country has the highest discount?,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Which department performed best?,excel,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
How much rating do we have?,json,true,true,true,true,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
What is the maximum performance score?,excel,true,true,true,false,aggregation,direct_answer,max,kpi_card,false,true,false,false,false
What is the distribution of pass rate?,csv,true,true,true,false,distribution,visual_answer,distribution,histogram,true,true,false,false,false
Compare bonus by job role,excel,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Break down humidity by sensor type,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Break down orders by country,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show balance by category,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
What is the overall grade?,csv,true,true,true,false,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
Show yearly quantity trend,csv,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Top 10 customers by revenue,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Are there blank values?,csv,true,true,true,false,data_quality,data_quality_answer,null_check,table,false,false,false,false,false
What is the minimum revenue?,csv,true,true,true,false,aggregation,direct_answer,min,kpi_card,false,true,false,false,false
Are there blank values?,json,true,true,true,true,data_quality,data_quality_answer,null_check,table,false,false,false,false,false
Forecast clicks for next quarter,csv,true,true,true,false,forecasting,deep_analysis,forecast,line_chart,true,true,false,true,false
Show impressions by campaign,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Group response time by user type,json,true,true,true,true,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Find outliers in patient count,csv,true,true,true,false,distribution,small_summary,outlier_check,box_plot,true,true,false,false,false
Compare age across genders,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show monthly review score trend,json,true,true,true,true,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Are score and grade related?,csv,true,true,true,false,correlation,visual_answer,correlation,scatter_plot,true,true,false,false,false
Show missing values in the dataset,excel,true,true,true,false,data_quality,data_quality_answer,null_check,table,false,false,false,false,false
What is the overall age?,csv,true,true,true,false,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
Rank departments by total salary,excel,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Are there outliers in revenue?,csv,true,true,true,false,distribution,small_summary,outlier_check,box_plot,true,true,false,false,false
Show distribution of speed,parquet,true,true,true,false,distribution,visual_answer,distribution,histogram,true,true,false,false,false
Group pass rate by teacher,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Plot amount by month,csv,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Which department has the highest length of stay?,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Rank ad groups by total clicks,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Calculate total sales,csv,true,true,true,false,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
What is the average revenue?,csv,true,true,true,false,aggregation,direct_answer,mean,kpi_card,false,true,false,false,false
Rank regions by total income,parquet,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Which endpoint has the highest latency?,json,true,true,true,true,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Which hospital performed best?,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Break down sales by country,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Calculate total attendance,csv,true,true,true,false,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
Show top categorys by revenue,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Which customer performed best?,json,true,true,true,true,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Compare salary across locations,excel,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
What is the highest revenue value?,csv,true,true,true,false,aggregation,direct_answer,max,kpi_card,false,true,false,false,false
Show amount by sales person,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Rank devices by total speed,parquet,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
What is the overall income?,parquet,true,true,true,false,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
Create a full analysis report,csv,true,true,true,false,summary_analysis,deep_analysis,full_dataset_analysis,multi_chart_dashboard,true,true,true,true,false
Break down score by student,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show top regions by request count,json,true,true,true,true,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Explain amount decline,csv,true,true,true,false,diagnostic_analysis,deep_analysis,diagnostic_analysis,multi_chart_dashboard,true,true,true,true,false
Find reason for review score increase,json,true,true,true,true,diagnostic_analysis,deep_analysis,diagnostic_analysis,multi_chart_dashboard,true,true,true,true,false
Top 10 customers by sales,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Which product performed best?,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Top 10 zones by pressure,parquet,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Group age by gender,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Plot review score by month,json,true,true,true,true,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Group review score by region,json,true,true,true,true,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Which vendor has the highest loss?,parquet,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Compare score by student,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Compare revenue by region,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Find reason for profit increase,parquet,true,true,true,false,diagnostic_analysis,deep_analysis,diagnostic_analysis,multi_chart_dashboard,true,true,true,true,false
Which class has the highest grade?,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Top 10 regions by clicks,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Compare profit across customers,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
What is the overall spend?,csv,true,true,true,false,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
Rank devices by total humidity,parquet,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Which teacher has the highest score?,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Compare rating by product,json,true,true,true,true,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Group attrition rate by gender,excel,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Group sales by product,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show histogram of pressure,parquet,true,true,true,false,distribution,visual_answer,distribution,histogram,true,true,false,false,false
Show pressure by device,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Break down discount by category,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Give business insights from this data,csv,true,true,true,false,summary_analysis,deep_analysis,full_dataset_analysis,multi_chart_dashboard,true,true,true,true,false
Which category has the highest expense?,parquet,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
What is the overall orders?,csv,true,true,true,false,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
What is the total profit?,parquet,true,true,true,false,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
Group loss by region,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Compare patient count across diagnosiss,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Compare pass rate across classs,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Break down conversion rate by channel,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show future trend for grade,csv,true,true,true,false,forecasting,deep_analysis,forecast,line_chart,true,true,false,true,false
What is the average spend?,csv,true,true,true,false,aggregation,direct_answer,mean,kpi_card,false,true,false,false,false
Show distribution of grade,csv,true,true,true,false,distribution,visual_answer,distribution,histogram,true,true,false,false,false
How much bonus do we have?,excel,true,true,true,false,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
What is the overall sentiment score?,json,true,true,true,true,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
Group patient count by department,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
What fields are present?,csv,true,true,true,false,schema_question,direct_answer,list_columns,table,false,false,false,false,false
What is the average bonus?,excel,true,true,true,false,aggregation,direct_answer,mean,kpi_card,false,true,false,false,false
What is the minimum balance?,parquet,true,true,true,false,aggregation,direct_answer,min,kpi_card,false,true,false,false,false
Break down cart value by country,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Break down salary by manager,excel,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Group spend by region,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Group sentiment score by customer,json,true,true,true,true,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Compare performance score across job roles,excel,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
What are customers saying?,json,true,true,true,true,text_analysis,small_summary,text_summary,bar_chart,true,false,true,false,true
What is the distribution of sales?,csv,true,true,true,false,distribution,visual_answer,distribution,histogram,true,true,false,false,false
What is the mean temperature?,parquet,true,true,true,false,aggregation,direct_answer,mean,kpi_card,false,true,false,false,false
Why did performance score drop?,excel,true,true,true,false,diagnostic_analysis,deep_analysis,diagnostic_analysis,multi_chart_dashboard,true,true,true,true,false
Show loss by region,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
How much profit do we have?,csv,true,true,true,false,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
Show top customers by quantity,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Are there outliers in loss?,parquet,true,true,true,false,distribution,small_summary,outlier_check,box_plot,true,true,false,false,false
Compare review score across categorys,json,true,true,true,true,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Compare temperature across zones,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show top audiences by impressions,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Find outliers in treatment cost,csv,true,true,true,false,distribution,small_summary,outlier_check,box_plot,true,true,false,false,false
Break down spend by channel,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Which status code has the highest response time?,json,true,true,true,true,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show monthly patient count trend,csv,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
